@relation 'datasaude(1) new'

@attribute Regio {'1 regio norte','2 regio nordeste','3 regio sodeste','4 regio sol','5 regio sentro-oeste',total}
@attribute Genero {Fem,Mas}
@attribute Ano string 
@attribute Internaes string
@attribute AIH_aprovadas string
@attribute Media_Internacoes_AIH_Aprovadas string
@attribute Valor_mdio_AIH string
@attribute Valor_mdio_intern string
@attribute Dias_permanncia string
@attribute Mdia_permanncia string
@attribute bitos string
@attribute Taxa_mortalidade string
@attribute Valor_total string
@attribute Valor_servios_hospitalares string
@attribute Valor_servios_profissionais string

@data
'1 regio norte',Fem,2013,8672,8672,100,506.6,506.6,24103,2.8,21,0.24,4393239.86,4158352.05,234887.81
'2 regio nordeste',Fem,2013,29690,29690,100,511.51,511.51,85700,2.9,143,0.48,15186751.89,14342291.81,844460.08
'3 regio sodeste',Fem,2013,15056,15056,100,597.53,597.53,51004,3.4,117,0.78,8996446.38,8436194.54,560251.84
'4 regio sol',Fem,2013,10103,10103,100,555.58,555.58,32787,3.2,63,0.62,5612985.43,5277060.62,335924.81
'5 regio sentro-oeste',Fem,2013,4979,4979,100,540.18,540.18,15320,3.1,39,0.78,2689572.8,2530239.8,159333
total,Fem,2013,68500,68500,100,538.38,538.38,208914,3,383,0.56,36878996.36,34744138.82,2134857.54
'1 regio norte',Fem,2014,6947,6947,100,505.93,505.93,19499,2.8,19,0.27,3514684.53,3324966.61,189717.92
'2 regio nordeste',Fem,2014,26578,26578,100,513.34,513.34,76050,2.9,138,0.52,13643605.78,12883232.76,760373.02
'3 regio sodeste',Fem,2014,12831,12831,100,616.28,616.28,43784,3.4,106,0.83,7907532.11,7397467.67,510064.44
'4 regio sol',Fem,2014,9324,9324,100,544.51,544.51,30470,3.3,42,0.45,5076965.76,4782023.97,294941.79
'5 regio sentro-oeste',Fem,2014,3979,3979,100,541.45,541.45,12533,3.1,28,0.7,2154410.37,2026345.26,128065.11
total,Fem,2014,59659,59659,100,541.36,541.36,182336,3.1,333,0.56,32297198.55,30414036.27,1883162.28
'1 regio norte',Fem,2015,5687,5687,100,515.82,515.82,16588,2.9,8,0.14,2933443,2769033.2,164409.8
'2 regio nordeste',Fem,2015,24828,24828,100,513.23,513.23,69843,2.8,132,0.53,12742449.42,12020760.76,721688.66
'3 regio sodeste',Fem,2015,13815,13815,100,628.41,628.41,48155,3.5,102,0.74,8681501.8,8116859.25,564642.55
'4 regio sol',Fem,2015,9563,9563,100,568.86,568.86,30747,3.2,41,0.43,5439992.98,5106000.08,333992.9
'5 regio sentro-oeste',Fem,2015,3552,3552,100,524.84,524.84,11524,3.2,17,0.48,1864228.19,1758202.8,106025.39
total,Fem,2015,57445,57445,100,551.16,551.16,176857,3.1,300,0.52,31661615.39,29770856.09,1890759.3
'1 regio norte',Fem,2016,5405,5405,100,516.28,516.28,15592,2.9,9,0.17,2790516.35,2636190.52,154325.83
'2 regio nordeste',Fem,2016,19650,19650,100,517.06,517.06,55043,2.8,105,0.53,10160258.16,9577549.57,582708.59
'3 regio sodeste',Fem,2016,11600,11603,99.9741446177713,637.66,637.83,41993,3.6,114,0.98,7398798.83,6909119.61,489679.22
'4 regio sol',Fem,2016,8304,8304,100,571.49,571.49,27889,3.4,57,0.69,4745690.69,4453151.51,292539.18
'5 regio sentro-oeste',Fem,2016,2934,2934,100,540.46,540.46,9520,3.2,18,0.61,1585703.22,1491329.95,94373.27
total,Fem,2016,47893,47896,99.9937364289294,557.06,557.1,150037,3.1,303,0.63,26680967.25,25067341.16,1613626.09
'1 regio norte',Fem,2017,5231,5231,100,529.98,529.98,15950,3,16,0.31,2772302.17,2613993.25,158308.92
'2 regio nordeste',Fem,2017,19253,19253,100,524.22,524.22,54302,2.8,96,0.5,10092859.55,9505773.18,587086.37
'3 regio sodeste',Fem,2017,11270,11270,100,688.31,688.31,43051,3.8,113,1,7757238.05,7217381.81,539856.24
'4 regio sol',Fem,2017,7681,7682,99.9869825566259,585.56,585.64,25267,3.3,44,0.57,4498300.75,4221445.11,276855.64
'5 regio sentro-oeste',Fem,2017,3155,3155,100,522.69,522.69,9451,3,19,0.6,1649081.74,1553902.96,95178.78
total,Fem,2017,46590,46591,99.9978536627246,574.57,574.58,148021,3.2,288,0.62,26769782.26,25112496.31,1657285.95
'1 regio norte',Fem,2018,4618,4618,100,510.56,510.56,14231,3.1,11,0.24,2357763.85,2225501.51,132262.34
'2 regio nordeste',Fem,2018,16829,16829,100,521.92,521.92,47833,2.8,66,0.39,8783342.36,8279382.56,503959.8
'3 regio sodeste',Fem,2018,11781,11781,100,671.2,671.2,42914,3.6,86,0.73,7907394.43,7365570.91,541763.47
'4 regio sol',Fem,2018,7361,7361,100,586.48,586.48,24592,3.3,55,0.75,4317082.98,4052775.3,264307.68
'5 regio sentro-oeste',Fem,2018,2946,2946,100,561.26,561.26,9142,3.1,23,0.78,1653478.37,1554167.27,99311.1
total,Fem,2018,43535,43535,100,574.69,574.69,138712,3.2,241,0.55,25019061.99,23477397.55,1541604.39
'1 regio norte',Fem,2019,711,711,100,587.1,587.1,2244,3.2,2,0.28,417427.87,390120.16,27307.71
'2 regio nordeste',Fem,2019,3258,3258,100,529.46,529.46,9392,2.9,10,0.31,1724996.41,1623495.41,101501
'3 regio sodeste',Fem,2019,1971,1971,100,706.35,706.35,7763,3.9,25,1.27,1392206.85,1292458.36,99748.49
'4 regio sol',Fem,2019,1042,1042,100,608.4,608.4,3303,3.2,3,0.29,633956.18,593327.31,40628.87
'5 regio sentro-oeste',Fem,2019,688,688,100,580.02,580.02,2073,3,4,0.58,399050.81,375122.72,23928.09
total,Fem,2019,7670,7670,100,595.52,595.52,24775,3.2,44,0.57,4567638.12,4274523.96,293114.16
'1 regio norte',Mas,2013,8095,8095,100,513.47,513.47,22850,2.8,20,0.25,4156507.26,3932754.33,223752.93
'2 regio nordeste',Mas,2013,28056,28056,100,509.74,509.74,80212,2.9,120,0.43,14301385.97,13520924.52,780461.45
'3 regio sodeste',Mas,2013,15628,15628,100,597.85,597.85,52168,3.3,96,0.61,9343270.05,8769076.31,574193.74
'4 regio sol',Mas,2013,9177,9177,100,551.09,551.09,28950,3.2,48,0.52,5057311.54,4759319.23,297992.31
'5 regio sentro-oeste',Mas,2013,4866,4866,100,536.91,536.91,14554,3,30,0.62,2612594.58,2461199.31,151395.27
total,Mas,2013,65822,65822,100,538.89,538.89,198734,3,314,0.48,35471069.4,33443273.7,2027795.7
'1 regio norte',Mas,2014,6424,6424,100,520.05,520.05,18618,2.9,12,0.19,3340823.22,3154945.62,185877.6
'2 regio nordeste',Mas,2014,25005,25005,100,515.87,515.87,71184,2.8,97,0.39,12899443.81,12186736.37,712707.44
'3 regio sodeste',Mas,2014,13369,13369,100,603.06,603.06,43337,3.2,90,0.67,8062367.34,7560426.96,501940.38
'4 regio sol',Mas,2014,8260,8260,100,539.16,539.16,25431,3.1,30,0.36,4453461.53,4198643.04,254818.49
'5 regio sentro-oeste',Mas,2014,3682,3682,100,542,542,11538,3.1,25,0.68,1995656.69,1879762.97,115893.72
total,Mas,2014,56740,56740,100,541.98,541.98,170108,3,254,0.45,30751752.59,28980514.96,1771237.63
'1 regio norte',Mas,2015,5676,5676,100,519.34,519.34,16372,2.9,14,0.25,2947779.45,2783445,164334.45
'2 regio nordeste',Mas,2015,23731,23731,100,510,510,66158,2.8,101,0.43,12102870.81,11434048.34,668822.47
'3 regio sodeste',Mas,2015,14677,14677,100,604.98,604.98,46528,3.2,78,0.53,8879285.5,8326935.06,552350.44
'4 regio sol',Mas,2015,8608,8608,100,552.45,552.45,25976,3,31,0.36,4755495.39,4475186.03,280309.36
'5 regio sentro-oeste',Mas,2015,3593,3593,100,550.93,550.93,11468,3.2,19,0.53,1979493.03,1861765.44,117727.59
total,Mas,2015,56285,56285,100,544.82,544.82,166502,3,243,0.43,30664924.18,28881379.87,1783544.31
'1 regio norte',Mas,2016,5382,5382,100,515.15,515.15,15267,2.8,12,0.22,2772516.37,2619702.77,152813.6
'2 regio nordeste',Mas,2016,19357,19357,100,521.69,521.69,54627,2.8,99,0.51,10098410.88,9523966.41,574444.47
'3 regio sodeste',Mas,2016,12058,12058,100,621.25,621.25,41195,3.4,90,0.75,7491032.12,7006083.16,484948.96
'4 regio sol',Mas,2016,7295,7295,100,549.49,549.49,22583,3.1,34,0.47,4008505.8,3775433.41,233072.39
'5 regio sentro-oeste',Mas,2016,3033,3033,100,542.05,542.05,9209,3,21,0.69,1644034.2,1546018.89,98015.31
total,Mas,2016,47125,47125,100,552.03,552.03,142881,3,256,0.54,26014499.37,24471204.64,1543294.73
'1 regio norte',Mas,2017,5156,5156,100,518.59,518.59,15459,3,18,0.35,2673828.96,2524574.17,149254.79
'2 regio nordeste',Mas,2017,19407,19407,100,524.56,524.56,54487,2.8,59,0.3,10180115.51,9593938.45,586177.06
'3 regio sodeste',Mas,2017,11882,11882,100,633.84,633.84,40184,3.4,76,0.64,7531234.31,7042179.43,489054.88
'4 regio sol',Mas,2017,6941,6941,100,568.94,568.94,21188,3.1,30,0.43,3948995,3711359.06,237635.94
'5 regio sentro-oeste',Mas,2017,3201,3201,100,532.2,532.2,9268,2.9,14,0.44,1703565.29,1604579.72,98985.57
total,Mas,2017,46587,46587,100,558.91,558.91,140586,3,197,0.42,26037739.07,24476630.83,1561108.24
'1 regio norte',Mas,2018,4654,4654,100,517.42,517.42,14808,3.2,10,0.21,2408072.52,2270940.06,137132.46
'2 regio nordeste',Mas,2018,16971,16971,100,530.15,530.15,48363,2.8,60,0.35,8997159.82,8471473.54,525686.28
'3 regio sodeste',Mas,2018,12333,12333,100,638.18,638.18,42372,3.4,68,0.55,7870725.01,7347233.47,523235.01
'4 regio sol',Mas,2018,6530,6530,100,587.61,587.61,19904,3,30,0.46,3837120.2,3599714.23,237405.97
'5 regio sentro-oeste',Mas,2018,2927,2927,100,545.4,545.4,8604,2.9,21,0.72,1596388.75,1505091.18,91225.52
